"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BANKBARODA","EQ","23-May-2018","        132.90","        131.70","        140.90","        131.40","        136.75","        136.60","        137.67","   23713478","          3264680878.05","     110824","    4831043","         20.37"
"BANKBARODA","EQ","24-May-2018","        136.60","        137.75","        140.65","        135.05","        138.80","        138.85","        138.07","   13046640","          1801369895.30","      59828","    1176395","          9.02"
"BANKBARODA","EQ","25-May-2018","        138.85","        139.00","        144.20","        139.00","        141.25","        141.30","        141.41","   12300751","          1739478293.85","      51079","     957740","          7.79"
"BANKBARODA","EQ","28-May-2018","        141.30","        142.50","        148.50","        140.35","        145.25","        145.40","        144.71","   24833790","          3593818451.80","     109591","    2584394","         10.41"
"BANKBARODA","EQ","29-May-2018","        145.40","        144.00","        145.45","        139.55","        140.30","        140.40","        142.37","   12773006","          1818443447.20","      49898","    2085625","         16.33"
"BANKBARODA","EQ","30-May-2018","        140.40","        138.90","        142.00","        137.55","        138.15","        138.45","        139.43","   17044430","          2376555239.35","      77141","    5041617","         29.58"
"BANKBARODA","EQ","31-May-2018","        138.45","        139.10","        139.85","        135.80","        136.90","        136.85","        137.54","   13116608","          1804111338.40","      55403","    3453274","         26.33"
"BANKBARODA","EQ","01-Jun-2018","        136.85","        137.65","        138.50","        134.75","        137.00","        136.95","        136.80","   11437804","          1564652262.10","      48495","    1719837","         15.04"
"BANKBARODA","EQ","04-Jun-2018","        136.95","        137.50","        137.90","        131.00","        131.95","        131.55","        132.47","   22267362","          2949769609.05","     122292","    6624757","         29.75"
"BANKBARODA","EQ","05-Jun-2018","        131.55","        131.90","        132.85","        126.45","        127.55","        127.75","        128.68","   21462369","          2761744161.95","      99266","    6078410","         28.32"
"BANKBARODA","EQ","06-Jun-2018","        127.75","        127.00","        131.10","        126.30","        130.50","        130.25","        129.01","   25559290","          3297359956.15","     131955","    7685512","         30.07"
"BANKBARODA","EQ","07-Jun-2018","        130.25","        131.25","        133.65","        129.60","        131.10","        131.40","        131.46","   17885218","          2351105605.20","      84046","    4760681","         26.62"
"BANKBARODA","EQ","08-Jun-2018","        131.40","        130.60","        133.20","        129.75","        132.30","        132.25","        131.96","   17691484","          2334481136.60","      69439","    5632083","         31.83"
"BANKBARODA","EQ","11-Jun-2018","        132.25","        133.15","        136.00","        132.15","        133.75","        133.70","        134.32","   13389907","          1798481541.25","      54730","    2778570","         20.75"
"BANKBARODA","EQ","12-Jun-2018","        133.70","        134.00","        134.65","        132.35","        133.85","        133.35","        133.41","   16578037","          2211626946.25","      54403","    6321621","         38.13"
"BANKBARODA","EQ","13-Jun-2018","        133.35","        133.95","        138.25","        133.75","        137.15","        136.75","        136.41","   16382863","          2234737016.60","      65418","    4136290","         25.25"
"BANKBARODA","EQ","14-Jun-2018","        136.75","        137.15","        137.15","        134.65","        135.30","        135.15","        135.48","   12368015","          1675646006.55","      44703","    3924313","         31.73"
"BANKBARODA","EQ","15-Jun-2018","        135.15","        134.85","        136.15","        130.35","        131.35","        131.30","        132.63","   11776063","          1561803149.65","      48523","    2145817","         18.22"
"BANKBARODA","EQ","18-Jun-2018","        131.30","        131.00","        131.30","        129.20","        129.95","        130.40","        130.30","    9736608","          1268641740.40","      42707","    2504954","         25.73"
"BANKBARODA","EQ","19-Jun-2018","        130.40","        129.90","        131.75","        127.25","        128.05","        127.85","        128.99","   12733048","          1642474887.75","      56444","    2902257","         22.79"
"BANKBARODA","EQ","20-Jun-2018","        127.85","        127.50","        128.40","        124.70","        125.05","        125.10","        125.89","   22227705","          2798309711.00","      70228","    9744413","         43.84"
"BANKBARODA","EQ","21-Jun-2018","        125.10","        125.70","        125.90","        121.50","        122.10","        122.00","        122.87","   16021753","          1968651027.60","      60826","    3894955","         24.31"
"BANKBARODA","EQ","22-Jun-2018","        122.00","        122.10","        122.80","        120.45","        121.55","        121.50","        121.68","   17477101","          2126660412.00","      68337","    5179147","         29.63"
"BANKBARODA","EQ","25-Jun-2018","        121.50","        121.45","        122.00","        116.50","        116.50","        116.80","        118.93","   11480804","          1365404608.30","      44297","    2025335","         17.64"
"BANKBARODA","EQ","26-Jun-2018","        116.80","        116.50","        119.10","        115.00","        117.80","        118.05","        117.28","   18511633","          2170952790.20","      89627","    4902829","         26.49"
"BANKBARODA","EQ","27-Jun-2018","        118.05","        118.05","        118.05","        113.60","        114.55","        115.15","        115.33","   15058571","          1736770599.50","      83548","    3200156","         21.25"
"BANKBARODA","EQ","28-Jun-2018","        115.15","        114.25","        116.30","        112.45","        112.80","        113.00","        114.15","   11274714","          1287014579.15","      38827","    1683184","         14.93"
"BANKBARODA","EQ","29-Jun-2018","        113.00","        114.00","        115.15","        112.15","        112.75","        112.65","        113.87","   14274242","          1625376677.40","      48594","    4041089","         28.31"
"BANKBARODA","EQ","02-Jul-2018","        112.65","        113.40","        115.45","        109.50","        113.60","        113.65","        112.32","   19814242","          2225603045.65","      70565","    3997632","         20.18"
"BANKBARODA","EQ","03-Jul-2018","        113.65","        113.60","        114.65","        111.80","        113.00","        113.00","        113.08","   12691360","          1435109372.05","      50341","    1696720","         13.37"
"BANKBARODA","EQ","04-Jul-2018","        113.00","        113.00","        113.80","        112.25","        113.25","        113.10","        112.95","    8861062","          1000876697.15","      32142","    1711008","         19.31"
"BANKBARODA","EQ","05-Jul-2018","        113.10","        113.70","        114.50","        112.55","        113.40","        113.25","        113.40","    9467902","          1073613176.35","      32995","    1491340","         15.75"
"BANKBARODA","EQ","06-Jul-2018","        113.25","        113.50","        116.75","        113.10","        115.25","        115.55","        114.98","   13020139","          1497102030.80","      43628","    2384073","         18.31"
