"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PNB","EQ","27-Apr-2018","         91.00","         91.25","         94.60","         91.10","         93.10","         93.40","         93.36","   25205308","          2353282883.25","      69784","    4116519","         16.33"
"PNB","EQ","30-Apr-2018","         93.40","         94.40","         95.70","         93.35","         95.50","         95.40","         94.83","   13703163","          1299505687.95","      80229","    2787647","         20.34"
"PNB","EQ","02-May-2018","         95.40","         95.90","         96.00","         92.55","         92.85","         92.80","         93.71","   10845584","          1016368244.60","      43589","    2810667","         25.92"
"PNB","EQ","03-May-2018","         92.80","         93.00","         93.60","         91.80","         91.90","         92.05","         92.32","   11643684","          1075003096.35","      37548","    1824705","         15.67"
"PNB","EQ","04-May-2018","         92.05","         92.75","         93.15","         91.10","         91.60","         91.55","         91.97","   11462253","          1054176204.70","      35752","    1771204","         15.45"
"PNB","EQ","07-May-2018","         91.55","         92.50","         94.65","         92.10","         93.80","         93.80","         93.71","   13839790","          1296923101.40","      45001","    2448721","         17.69"
"PNB","EQ","08-May-2018","         93.80","         94.20","         95.65","         92.35","         92.75","         92.65","         93.66","   18546850","          1737069742.80","      52791","    2049577","         11.05"
"PNB","EQ","09-May-2018","         92.65","         93.20","         93.50","         92.70","         93.00","         93.00","         93.06","    6730710","           626390012.35","      23820","     776191","         11.53"
"PNB","EQ","10-May-2018","         93.00","         93.10","         93.65","         91.05","         91.25","         91.40","         92.13","   11303169","          1041359271.95","      34228","    2304406","         20.39"
"PNB","EQ","11-May-2018","         91.40","         91.85","         91.90","         87.20","         88.80","         88.80","         89.00","   19914360","          1772426225.60","      62413","    3832150","         19.24"
"PNB","EQ","14-May-2018","         88.80","         89.00","         90.85","         88.00","         89.35","         89.30","         89.47","   15634508","          1398743210.85","      52658","    1947679","         12.46"
"PNB","EQ","15-May-2018","         89.30","         89.00","         91.50","         83.55","         83.85","         85.95","         88.34","   29556673","          2611006099.40","      85195","    5147925","         17.42"
"PNB","EQ","16-May-2018","         85.95","         79.15","         80.00","         74.15","         75.70","         75.60","         76.29","   98523673","          7516485018.65","     263304","   15850082","         16.09"
"PNB","EQ","17-May-2018","         75.60","         76.00","         77.00","         74.40","         76.55","         76.45","         75.68","   37034469","          2802760650.25","      98073","    3706849","         10.01"
"PNB","EQ","18-May-2018","         76.45","         76.40","         77.00","         74.50","         74.80","         74.75","         75.85","   25068232","          1901462487.35","      64160","    4018604","         16.03"
"PNB","EQ","21-May-2018","         74.75","         76.00","         78.70","         75.30","         77.90","         78.15","         76.98","   29693002","          2285681917.10","      75887","    3944452","         13.28"
"PNB","EQ","22-May-2018","         78.15","         78.05","         83.55","         76.60","         81.05","         81.55","         80.76","   47285396","          3818887455.30","     118637","    4347989","          9.20"
"PNB","EQ","23-May-2018","         81.55","         81.40","         83.50","         79.70","         80.75","         80.55","         81.91","   29450321","          2412215885.15","      76144","    2697822","          9.16"
"PNB","EQ","24-May-2018","         80.55","         80.70","         82.50","         80.05","         82.35","         82.10","         81.42","   19933989","          1622967272.75","      48522","    2064728","         10.36"
"PNB","EQ","25-May-2018","         82.10","         81.95","         84.55","         81.30","         83.60","         83.35","         83.11","   19102160","          1587532024.05","      52027","    2807418","         14.70"
"PNB","EQ","28-May-2018","         83.35","         83.70","         89.60","         83.60","         88.40","         88.70","         87.43","   34946952","          3055492624.75","      96971","    4422380","         12.65"
"PNB","EQ","29-May-2018","         88.70","         88.50","         89.20","         85.25","         85.45","         85.65","         87.19","   27758350","          2420205425.30","      90847","    6309512","         22.73"
"PNB","EQ","30-May-2018","         85.65","         84.60","         87.00","         84.30","         86.05","         86.10","         85.84","   18814541","          1615104965.90","      52657","    2500535","         13.29"
"PNB","EQ","31-May-2018","         86.10","         86.65","         87.00","         83.25","         83.90","         83.65","         84.78","   17359606","          1471828999.15","      51006","    3270262","         18.84"
"PNB","EQ","01-Jun-2018","         83.65","         84.00","         84.85","         82.05","         83.20","         82.95","         83.31","   20636225","          1719197830.75","      58753","    2091487","         10.14"
"PNB","EQ","04-Jun-2018","         82.95","         83.60","         85.00","         82.20","         83.60","         83.20","         83.66","   15456025","          1293038063.95","      43413","    1620882","         10.49"
"PNB","EQ","05-Jun-2018","         83.20","         83.20","         83.80","         81.05","         82.65","         82.65","         82.40","   14615089","          1204351434.15","      43049","    1320337","          9.03"
"PNB","EQ","06-Jun-2018","         82.65","         82.75","         85.50","         82.30","         84.50","         84.70","         84.23","   18167507","          1530232914.90","      52345","    2337017","         12.86"
"PNB","EQ","07-Jun-2018","         84.70","         85.10","         86.85","         84.35","         86.05","         86.10","         85.71","   17624425","          1510677289.40","      49146","    2148594","         12.19"
"PNB","EQ","08-Jun-2018","         86.10","         86.00","         91.20","         85.40","         90.30","         90.45","         89.14","   39225458","          3496500616.90","     107440","    5012234","         12.78"
"PNB","EQ","11-Jun-2018","         90.45","         92.00","         94.70","         91.10","         91.40","         91.60","         92.94","   37150478","          3452764975.25","     110986","    4395088","         11.83"
"PNB","EQ","12-Jun-2018","         91.60","         91.40","         92.70","         90.65","         91.85","         91.75","         91.73","   21847334","          2004157630.70","      56820","    1927454","          8.82"
"PNB","EQ","13-Jun-2018","         91.75","         92.15","         93.20","         90.90","         91.25","         91.30","         92.12","   19488548","          1795212683.90","      54465","    2026382","         10.40"
"PNB","EQ","14-Jun-2018","         91.30","         91.00","         92.30","         89.30","         92.25","         91.70","         90.65","   19136052","          1734705051.45","      56484","    1819620","          9.51"
"PNB","EQ","15-Jun-2018","         91.70","         92.10","         93.15","         89.60","         89.75","         89.85","         91.17","   21610044","          1970181188.90","      63617","    2523419","         11.68"
"PNB","EQ","18-Jun-2018","         89.85","         89.50","         90.65","         88.20","         88.30","         88.50","         88.95","   12204751","          1085653669.00","      36059","    1344134","         11.01"
"PNB","EQ","19-Jun-2018","         88.50","         88.30","         89.65","         86.45","         86.75","         86.80","         87.88","   16686961","          1466409926.00","      44050","    1741280","         10.43"
"PNB","EQ","20-Jun-2018","         86.80","         86.80","         87.60","         85.70","         85.75","         86.20","         86.59","   15014284","          1300069542.95","      38996","    1320528","          8.80"
"PNB","EQ","21-Jun-2018","         86.20","         86.25","         86.55","         83.20","         83.35","         83.40","         84.26","   17947960","          1512304585.35","      47383","    3002331","         16.73"
"PNB","EQ","22-Jun-2018","         83.40","         83.40","         83.70","         81.60","         81.85","         81.90","         82.19","   26172821","          2151135308.55","      55917","    8342204","         31.87"
"PNB","EQ","25-Jun-2018","         81.90","         81.90","         82.40","         79.50","         79.65","         79.80","         80.94","   18367654","          1486644175.30","      44687","    3194122","         17.39"
"PNB","EQ","26-Jun-2018","         79.80","         79.50","         81.15","         78.85","         79.60","         79.85","         79.96","   24559936","          1963776963.85","      56365","    4574708","         18.63"
"PNB","EQ","27-Jun-2018","         79.85","         79.85","         80.25","         75.25","         76.55","         76.75","         77.21","   23005577","          1776353859.10","      62311","    3857346","         16.77"
"PNB","EQ","28-Jun-2018","         76.75","         76.75","         78.50","         71.65","         72.90","         72.80","         75.12","   48215340","          3622174075.60","      90382","   18732216","         38.85"
"PNB","EQ","29-Jun-2018","         72.80","         73.55","         76.35","         73.55","         76.15","         76.15","         75.56","   30436895","          2299743780.00","      74429","    5782037","         19.00"
"PNB","EQ","02-Jul-2018","         76.15","         76.80","         79.75","         74.40","         77.95","         78.15","         76.85","   27653723","          2125148608.15","      81283","    2462208","          8.90"
"PNB","EQ","03-Jul-2018","         78.15","         78.00","         78.15","         75.85","         76.80","         77.15","         77.00","   20767258","          1599086426.05","      60040","    2285137","         11.00"
"PNB","EQ","04-Jul-2018","         77.15","         76.90","         77.15","         75.60","         76.00","         76.10","         76.32","   15453638","          1179363781.35","      36923","    1748546","         11.31"
"PNB","EQ","05-Jul-2018","         76.10","         76.05","         78.00","         75.15","         75.25","         75.55","         76.46","   20437925","          1562760919.85","      49861","    1910423","          9.35"
"PNB","EQ","06-Jul-2018","         75.55","         75.95","         78.00","         75.45","         76.95","         76.95","         76.88","   20777411","          1597459480.75","      47417","    2286132","         11.00"
